date currency_code rate
2020-05-20 AZN 42,6713
2020-05-20 GBP 88,5352
2020-05-20 AMD 14,8991
2020-05-20 BYN 29,9511
2020-05-20 BGN 40,4220
2020-05-20 BRL 12,6564
2020-05-20 HUF 22,4777
2020-05-20 HKD 93,4027
2020-05-20 DKK 10,6062
2020-05-20 USD 72,3918
2020-05-20 EUR 79,1677
2020-05-20 INR 95,7057
2020-05-20 KZT 17,4329
2020-05-20 CAD 51,9273
2020-05-20 KGS 94,4408
2020-05-20 CNY 10,1857
2020-05-20 MDL 40,6810
2020-05-20 NOK 72,2350
2020-05-20 PLN 17,3418
2020-05-20 RON 16,3343
2020-05-20 XDR 98,3254
2020-05-20 SGD 51,0628
2020-05-20 TJS 70,6434
2020-05-20 TRY 10,5415
2020-05-20 TMT 20,7130
2020-05-20 UZS 71,3642
2020-05-20 UAH 27,3202
2020-05-20 CZK 28,7092
2020-05-20 SEK 74,6400
2020-05-20 CHF 74,4312
2020-05-20 ZAR 39,5882
2020-05-20 KRW 59,0486
2020-05-20 JPY 67,4196
2020-05-21 AUD 47,3308
2020-05-21 AZN 42,2956
2020-05-21 GBP 88,5057
2020-05-21 AMD 14,9490
2020-05-21 BYN 30,0333
2020-05-21 BGN 40,4734
2020-05-21 BRL 12,5676
2020-05-21 HUF 22,6240
2020-05-21 HKD 93,3359
2020-05-21 DKK 10,6172
2020-05-21 USD 72,3381
2020-05-21 EUR 79,1813
2020-05-21 INR 95,4278
2020-05-21 KZT 17,4116
2020-05-21 CAD 51,9334
2020-05-21 KGS 94,9758
2020-05-21 CNY 10,1791
2020-05-21 MDL 40,7539
2020-05-21 NOK 72,4243
2020-05-21 PLN 17,3798
2020-05-21 RON 16,3443
2020-05-21 XDR 98,7755
2020-05-21 SGD 51,0358
2020-05-21 TJS 70,5050
2020-05-21 TRY 10,6481
2020-05-21 TMT 20,6976
2020-05-21 UZS 71,2761
2020-05-21 UAH 27,2226
2020-05-21 CZK 28,8280
2020-05-21 SEK 74,9043
2020-05-21 CHF 74,6986
2020-05-21 ZAR 39,7803
2020-05-21 KRW 58,7926
2020-05-21 JPY 67,1694
2020-05-22 AUD 46,5332
2020-05-22 AZN 41,8061
2020-05-22 GBP 86,5556
2020-05-22 AMD 14,6658
2020-05-22 BYN 29,7413
2020-05-22 BGN 39,7801
2020-05-22 BRL 12,4581
2020-05-22 HUF 22,3070
2020-05-22 HKD 91,5113
2020-05-22 DKK 10,4332
2020-05-22 USD 70,9240
2020-05-22 EUR 77,7965
2020-05-22 INR 93,7931
2020-05-22 KZT 17,1748
2020-05-22 CAD 50,9000
2020-05-22 KGS 93,6640
2020-05-22 CNY 99,8916
2020-05-22 MDL 40,1267
2020-05-22 NOK 71,1631
2020-05-22 PLN 17,1368
2020-05-22 RON 16,0607
2020-05-22 XDR 96,8276
2020-05-22 SGD 50,1123
2020-05-22 TJS 69,2110
2020-05-22 TRY 10,4457
2020-05-22 TMT 20,2930
2020-05-22 UZS 70,0169
2020-05-22 UAH 26,4812
2020-05-22 CZK 28,5880
2020-05-22 SEK 73,7371
2020-05-22 CHF 73,3975
2020-05-22 ZAR 39,5230
2020-05-22 KRW 57,6379
2020-05-22 JPY 65,8380
2020-05-23 AUD 46,8373
2020-05-23 AZN 42,3698
2020-05-23 GBP 87,5216
2020-05-23 AMD 14,9238
2020-05-23 BYN 29,9290
2020-05-23 BGN 40,0872
2020-05-23 BRL 12,9428
2020-05-23 HUF 22,4174
2020-05-23 HKD 92,6592
2020-05-23 DKK 10,5133
2020-05-23 USD 71,8804
2020-05-23 EUR 78,4431
2020-05-23 INR 94,6355
2020-05-23 KZT 17,2702
2020-05-23 CAD 51,2261
2020-05-23 KGS 95,7688
2020-05-23 CNY 10,0636
2020-05-23 MDL 40,6104
2020-05-23 NOK 71,2541
2020-05-23 PLN 17,3310
2020-05-23 RON 16,1918
2020-05-23 XDR 98,1807
2020-05-23 SGD 50,4601
2020-05-23 TJS 70,1443
2020-05-23 TRY 10,5590
2020-05-23 TMT 20,5666
2020-05-23 UZS 70,9930
2020-05-23 UAH 26,8697
2020-05-23 CZK 28,7729
2020-05-23 SEK 74,1930
2020-05-23 CHF 73,9815
2020-05-23 ZAR 40,2804
2020-05-23 KRW 57,9438
2020-05-23 JPY 66,8748
2020-05-24 AUD 46,8373
2020-05-24 AZN 42,3698
2020-05-24 GBP 87,5216
2020-05-24 AMD 14,9238
2020-05-24 BYN 29,9290
2020-05-24 BGN 40,0872
2020-05-24 BRL 12,9428
2020-05-24 HUF 22,4174
2020-05-24 HKD 92,6592
2020-05-24 DKK 10,5133
2020-05-24 USD 71,8804
2020-05-24 EUR 78,4431
2020-05-24 INR 94,6355
2020-05-24 KZT 17,2702
2020-05-24 CAD 51,2261
2020-05-24 KGS 95,7688
2020-05-24 CNY 10,0636
2020-05-24 MDL 40,6104
2020-05-24 NOK 71,2541
2020-05-24 PLN 17,3310
2020-05-24 RON 16,1918
2020-05-24 XDR 98,1807
2020-05-24 SGD 50,4601
2020-05-24 TJS 70,1443
2020-05-24 TRY 10,5590
2020-05-24 TMT 20,5666
2020-05-24 UZS 70,9930
2020-05-24 UAH 26,8697
2020-05-24 CZK 28,7729
2020-05-24 SEK 74,1930
2020-05-24 CHF 73,9815
2020-05-24 ZAR 40,2804
2020-05-24 KRW 57,9438
2020-05-24 JPY 66,8748
2020-05-25 AUD 46,8373
2020-05-25 AZN 42,3698
2020-05-25 GBP 87,5216
2020-05-25 AMD 14,9238
2020-05-25 BYN 29,9290
2020-05-25 BGN 40,0872
2020-05-25 BRL 12,9428
2020-05-25 HUF 22,4174
2020-05-25 HKD 92,6592
2020-05-25 DKK 10,5133
2020-05-25 USD 71,8804
2020-05-25 EUR 78,4431
2020-05-25 INR 94,6355
2020-05-25 KZT 17,2702
2020-05-25 CAD 51,2261
2020-05-25 KGS 95,7688
2020-05-25 CNY 10,0636
2020-05-25 MDL 40,6104
2020-05-25 NOK 71,2541
2020-05-25 PLN 17,3310
2020-05-25 RON 16,1918
2020-05-25 XDR 98,1807
2020-05-25 SGD 50,4601
2020-05-25 TJS 70,1443
2020-05-25 TRY 10,5590
2020-05-25 TMT 20,5666
2020-05-25 UZS 70,9930
2020-05-25 UAH 26,8697
2020-05-25 CZK 28,7729
2020-05-25 SEK 74,1930
2020-05-25 CHF 73,9815
2020-05-25 ZAR 40,2804
2020-05-25 KRW 57,9438
2020-05-25 JPY 66,8748
2020-05-26 AUD 46,7380
2020-05-26 AZN 42,2023
2020-05-26 GBP 87,1326
2020-05-26 AMD 14,8110
2020-05-26 BYN 29,8268
2020-05-26 BGN 39,9042
2020-05-26 BRL 12,9373
2020-05-26 HUF 22,2231
2020-05-26 HKD 92,3202
2020-05-26 DKK 10,4477
2020-05-26 USD 71,5962
2020-05-26 EUR 77,8823
2020-05-26 INR 94,2012
2020-05-26 KZT 17,2748
2020-05-26 CAD 51,1511
2020-05-26 KGS 95,4298
2020-05-26 CNY 10,0280
2020-05-26 MDL 40,3132
2020-05-26 NOK 71,3664
2020-05-26 PLN 17,2617
2020-05-26 RON 16,0919
2020-05-26 XDR 97,5047
2020-05-26 SGD 50,1972
2020-05-26 TJS 69,7139
2020-05-26 TRY 10,5054
2020-05-26 TMT 20,4853
2020-05-26 UZS 70,6495
2020-05-26 UAH 26,6206
2020-05-26 CZK 28,5113
2020-05-26 SEK 73,9386
2020-05-26 CHF 73,5905
2020-05-26 ZAR 40,5860
2020-05-26 KRW 57,6436
2020-05-26 JPY 66,4528
2020-05-27 AUD 46,9600
2020-05-27 AZN 41,9339
2020-05-27 GBP 87,2400
2020-05-27 AMD 14,7015
2020-05-27 BYN 29,6198
2020-05-27 BGN 39,7857
2020-05-27 BRL 13,0697
2020-05-27 HUF 22,2527
2020-05-27 HKD 91,7744
2020-05-27 DKK 10,4367
2020-05-27 USD 71,1408
2020-05-27 EUR 77,7854
2020-05-27 INR 93,9872
2020-05-27 KZT 17,2106
2020-05-27 CAD 51,1473
2020-05-27 KGS 94,8228
2020-05-27 CNY 99,6942
2020-05-27 MDL 40,1359
2020-05-27 NOK 71,4696
2020-05-27 PLN 17,3756
2020-05-27 RON 16,0796
2020-05-27 XDR 96,8845
2020-05-27 SGD 50,0745
2020-05-27 TJS 69,4226
2020-05-27 TRY 10,4944
2020-05-27 TMT 20,3550
2020-05-27 UZS 70,1378
2020-05-27 UAH 26,4449
2020-05-27 CZK 28,6818
2020-05-27 SEK 73,7508
2020-05-27 CHF 73,3410
2020-05-27 ZAR 40,8229
2020-05-27 KRW 57,6777
2020-05-27 JPY 65,9872
2020-05-28 AUD 47,2572
2020-05-28 AZN 41,8883
2020-05-28 GBP 87,4650
2020-05-28 AMD 14,6734
2020-05-28 BYN 29,5041
2020-05-28 BGN 39,8494
2020-05-28 BRL 13,2928
2020-05-28 HUF 22,3245
2020-05-28 HKD 91,6629
2020-05-28 DKK 10,4508
2020-05-28 USD 71,0635
2020-05-28 EUR 77,9069
2020-05-28 INR 93,8547
2020-05-28 KZT 17,2231
2020-05-28 CAD 51,6187
2020-05-28 KGS 95,9032
2020-05-28 CNY 99,3312
2020-05-28 MDL 40,1602
2020-05-28 NOK 71,8023
2020-05-28 PLN 17,5913
2020-05-28 RON 16,0963
2020-05-28 XDR 96,9889
2020-05-28 SGD 50,1330
2020-05-28 TJS 69,3472
2020-05-28 TRY 10,5026
2020-05-28 TMT 20,3329
2020-05-28 UZS 70,0875
2020-05-28 UAH 26,3142
2020-05-28 CZK 28,8255
2020-05-28 SEK 73,8337
2020-05-28 CHF 73,2085
2020-05-28 ZAR 40,7026
2020-05-28 KRW 57,5138
2020-05-28 JPY 66,0841
2020-05-29 AUD 46,9055
2020-05-29 AZN 41,9105
2020-05-29 GBP 87,0919
2020-05-29 AMD 14,6931
2020-05-29 BYN 29,4439
2020-05-29 BGN 39,9602
2020-05-29 BRL 13,4807
2020-05-29 HUF 22,3403
2020-05-29 HKD 91,6938
2020-05-29 DKK 10,4841
2020-05-29 USD 71,1012
2020-05-29 EUR 78,2611
2020-05-29 INR 93,8280
2020-05-29 KZT 17,2177
2020-05-29 CAD 51,5749
2020-05-29 KGS 96,7137
2020-05-29 CNY 99,3089
2020-05-29 MDL 40,3984
2020-05-29 NOK 71,7991
2020-05-29 PLN 17,6667
2020-05-29 RON 16,1366
2020-05-29 XDR 97,1932
2020-05-29 SGD 50,0325
2020-05-29 TJS 69,2994
2020-05-29 TRY 10,4645
2020-05-29 TMT 20,3437
2020-05-29 UZS 70,1244
2020-05-29 UAH 26,4440
2020-05-29 CZK 28,9170
2020-05-29 SEK 73,9298
2020-05-29 CHF 73,2624
2020-05-29 ZAR 40,7056
2020-05-29 KRW 57,3295
